species,phylum,genus,confidence_tier,old_hit_count,old_best_accession,old_best_title,new_hmm_positive,new_blast_positive,new_hmm_best_evalue,new_blast_best_evalue,diagnosis
Clostridium perfringens,Firmicutes,Clostridium,FULL,25,XZN70946.1,urease subunit alpha (plasmid) [Clostridium perfringens],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Corynebacterium auriscanis,Actinobacteria,Corynebacterium,FULL,1,WP_265914101.1,urease subunit alpha [Corynebacterium auriscanis],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Corynebacterium casei,Actinobacteria,Corynebacterium,FULL,1,BFX99512.1,urease subunit alpha [Corynebacterium casei],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Corynebacterium flavescens,Actinobacteria,Corynebacterium,FULL,2,WP_443402043.1,urease subunit alpha [Corynebacterium flavescens],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Dietzia alimentaria,Actinobacteria,Dietzia,FULL,1,ODQ85602.1,urease subunit alpha [Dietzia alimentaria],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Dietzia aurantiaca,Actinobacteria,Dietzia,FULL,6,WP_344992434.1,urease subunit alpha [Dietzia aurantiaca],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Enterobacter cancerogenus,Proteobacteria,Enterobacter,FULL,2,WP_474483586.1,urease subunit alpha [Enterobacter cancerogenus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Enterococcus casseliflavus,Firmicutes,Enterococcus,FULL,11,WP_483540342.1,urease subunit alpha [Enterococcus casseliflavus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Enterococcus faecium,Firmicutes,Enterococcus,FULL,14,WP_482869857.1,"urease subunit alpha, partial [Enterococcus faecium]",False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Enterococcus hirae,Firmicutes,Enterococcus,FULL,11,WP_491821111.1,urease subunit alpha [Enterococcus hirae],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Enterococcus rotai,Firmicutes,Enterococcus,FULL,2,WP_069641209.1,MULTISPECIES: urease subunit alpha [Enterococcus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Escherichia albertii,Proteobacteria,Escherichia,FULL,5,WDB45747.1,urease subunit alpha (plasmid) [Escherichia albertii],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Escherichia coli,Proteobacteria,Escherichia,FULL,2473,BHS50992.1,urease subunit alpha [Escherichia coli O157:H7],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Fusicatenibacter saccharivorans,Firmicutes,Fusicatenibacter,FULL,5,WP_022462945.1,MULTISPECIES: urease subunit alpha [Lachnospiraceae],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Glutamicibacter arilaitensis,Actinobacteria,Glutamicibacter,FULL,2,WP_404288579.1,urease subunit alpha [Glutamicibacter arilaitensis],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Kocuria massiliensis,Actinobacteria,Kocuria,FULL,1,WP_030014712.1,MULTISPECIES: urease subunit alpha [Micrococcales],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Lactiplantibacillus plantarum,Firmicutes,Lactiplantibacillus,FULL,3,WP_489940843.1,urease subunit alpha [Lactiplantibacillus plantarum],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Ligilactobacillus aviarius,Firmicutes,Ligilactobacillus,FULL,1,WP_407455517.1,urease subunit alpha [Ligilactobacillus aviarius],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Lysinibacillus xylanilyticus,Firmicutes,Lysinibacillus,FULL,2,WP_402769788.1,urease subunit alpha [Lysinibacillus xylanilyticus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Macrococcus equipercicus,Firmicutes,Macrococcus,FULL,2,WP_149457876.1,urease subunit alpha [Macrococcus equipercicus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Mammaliicoccus fleurettii,Firmicutes,Mammaliicoccus,FULL,3,QPA34838.1,urease subunit alpha [Mammaliicoccus fleurettii],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Mammaliicoccus sciuri,Firmicutes,Mammaliicoccus,FULL,3,RIO67798.1,"urease subunit alpha, partial [Mammaliicoccus sciuri]",False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Methylocapsa aurea,Proteobacteria,Methylocapsa,FULL,1,WP_428988199.1,urease subunit alpha [Methylocapsa aurea],False,False,,,"different urease-operon gene present (accessory/gamma subunit), not true ureC - not a false negative"
Methylosinus sporium,Proteobacteria,Methylosinus,FULL,2,WP_400768331.1,urease subunit alpha [Methylosinus sporium],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Microbacterium proteolyticum,Actinobacteria,Microbacterium,FULL,2,WP_373426429.1,MULTISPECIES: urease subunit alpha [Microbacterium],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Mycolicibacter algericus,Actinobacteria,Mycolicibacter,FULL,1,WP_013827216.1,MULTISPECIES: urease subunit alpha [Mycobacteriaceae],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Mycolicibacter terrae,Actinobacteria,Mycolicibacter,FULL,2,WP_125224462.1,urease subunit alpha [Mycolicibacter terrae],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Niallia circulans,Firmicutes,Niallia,FULL,1,WP_235250911.1,urease subunit alpha [Niallia circulans],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Nitratireductor pacificus,Proteobacteria,Nitratireductor,FULL,1,WP_113154172.1,MULTISPECIES: urease subunit alpha [Alphaproteobacteria],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Nocardiopsis listeri,Actinobacteria,Nocardiopsis,FULL,1,WP_304077634.1,urease subunit alpha [Nocardiopsis listeri],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Paenibacillus polymyxa,Firmicutes,Paenibacillus,FULL,2,XOI97731.1,urease subunit alpha [Paenibacillus polymyxa],False,False,,,"different urease-operon gene present (accessory/gamma subunit), not true ureC - not a false negative"
Paenibacillus terrigena,Firmicutes,Paenibacillus,FULL,2,WP_314588283.1,urease subunit alpha [Paenibacillus terrigena],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Peribacillus frigoritolerans,Firmicutes,Peribacillus,FULL,51,WP_491718942.1,urease subunit alpha [Peribacillus frigoritolerans],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Pseudaminobacter soli,Proteobacteria,Pseudaminobacter,FULL,3,WP_188258070.1,urease subunit alpha [Pseudaminobacter soli (ex Zhang et al. 2022)],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Pusillimonas ginsengisoli,Proteobacteria,Pusillimonas,FULL,2,WP_496255790.1,urease subunit alpha [Allopusillimonas ginsengisoli],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Roseburia intestinalis,Firmicutes,Roseburia,FULL,3,RHN05187.1,urease subunit alpha [Roseburia intestinalis],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Saccharopolyspora gloriosae,Actinobacteria,Saccharopolyspora,FULL,2,GAB2650518.1,urease subunit alpha [Saccharopolyspora gloriosae],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Salmonella enterica,Proteobacteria,Salmonella,FULL,7,GAC1948924.1,urease subunit alpha [Salmonella enterica subsp. enterica serovar Typhi],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Schnuerera ultunensis,Firmicutes,Schnuerera,FULL,1,CCQ98398.1,urease alpha subunit [[Clostridium] ultunense Esp],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Serratia marcescens,Proteobacteria,Serratia,FULL,152,WP_476196989.1,urease subunit alpha [Serratia marcescens],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Serratia nematodiphila,Proteobacteria,Serratia,FULL,1,RNW11401.1,urease subunit alpha [Serratia nematodiphila],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Shigella boydii,Proteobacteria,Shigella,FULL,2,WP_139355158.1,urease subunit alpha [Shigella boydii],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Shigella flexneri,Proteobacteria,Shigella,FULL,1,EIQ80234.1,"urease, alpha subunit [Shigella flexneri 1235-66]",False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Sporosarcina luteola,Firmicutes,Sporosarcina,FULL,7,WP_262175597.1,MULTISPECIES: urease subunit alpha [Caryophanales],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Staphylococcus arlettae,Firmicutes,Staphylococcus,FULL,6,YFY63537.1,urease subunit alpha [Staphylococcus arlettae],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Staphylococcus haemolyticus,Firmicutes,Staphylococcus,FULL,43,YFY62216.1,urease subunit alpha [Staphylococcus haemolyticus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Staphylococcus massiliensis,Firmicutes,Staphylococcus,FULL,2,WP_238101730.1,urease subunit alpha [Staphylococcus massiliensis],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Streptococcus equinus,Firmicutes,Streptococcus,FULL,1,ARC33683.1,urease subunit alpha [Streptococcus equinus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Virgibacillus halodenitrificans,Firmicutes,Virgibacillus,FULL,1,WP_060679374.1,urease subunit alpha [Virgibacillus halodenitrificans],False,False,,,"different urease-operon gene present (accessory/gamma subunit), not true ureC - not a false negative"
