species,genus,status,seq_len,fwd_best_pos,fwd_best_mm,rev_best_pos,rev_best_mm,category
Paenibacillus daejeonensis,Paenibacillus,no_match_both,1716,814,5,899,6,diverged_present
Sporosarcina soli,Sporosarcina,no_match_both,1716,811,5,896,7,diverged_present
Sporosarcina saromensis,Sporosarcina,no_match_both,1716,811,6,896,6,diverged_present
Paenibacillus aestuarii,Paenibacillus,no_match_rev,1716,814,4,899,5,diverged_present
Schnuerera ultunensis,Schnuerera,no_match_both,1383,481,5,275,5,genuinely_absent
Paenibacillus illinoisensis,Paenibacillus,no_match_both,1719,814,5,899,5,diverged_present
Paenibacillus oryzisoli,Paenibacillus,no_match_fwd,1716,814,5,899,4,diverged_present
Paenibacillus polymyxa,Paenibacillus,no_match_both,1719,814,5,899,6,diverged_present
Paenibacillus psychroresistens,Paenibacillus,no_match_both,1716,814,5,899,6,diverged_present
Paenibacillus silvae,Paenibacillus,no_match_both,1713,814,5,509,6,diverged_present
Paenibacillus silvestris,Paenibacillus,no_match_both,1716,814,6,717,6,diverged_present
Paenibacillus swuensis,Paenibacillus,no_match_rev,1722,805,4,1238,6,diverged_present
Paenibacillus tyrfis,Paenibacillus,no_match_rev,1713,811,3,896,5,diverged_present
Paenibacillus favisporus,Paenibacillus,no_match_fwd,1713,811,6,896,4,diverged_present
Brevibacillus reuszeri,Brevibacillus,no_match_both,1713,811,6,714,6,diverged_present
Paenibacillus alba,Paenibacillus,no_match_fwd,1683,781,6,866,4,genuinely_absent
Paenibacillus allorhizosphaerae,Paenibacillus,no_match_both,1752,814,5,899,5,diverged_present
Paenibacillus barcinonensis,Paenibacillus,no_match_both,1713,814,5,509,6,diverged_present
Paenibacillus catalpae,Paenibacillus,no_match_rev,1713,814,4,899,6,diverged_present
Staphylococcus agnetis,Staphylococcus,no_match_both,1716,814,7,759,5,diverged_present
Macrococcus equipercicus,Macrococcus,no_match_both,1716,814,7,899,5,diverged_present
Sporosarcina beigongshangi,Sporosarcina,no_match_both,1716,811,5,896,7,diverged_present
Ureibacillus manganicus,Ureibacillus,no_match_both,1713,811,5,896,6,diverged_present
Ectobacillus panaciterrae,Ectobacillus,no_match_both,1710,808,7,711,7,diverged_present
Bacillus massiliglaciei,Bacillus,no_match_both,1710,808,6,1226,5,diverged_present
Geobacillus kaustophilus,Geobacillus,no_match_both,1710,808,5,893,5,diverged_present
Bacillus cihuensis,Bacillus,no_match_both,1713,811,8,896,5,diverged_present
Lysinibacillus xylanilyticus,Lysinibacillus,no_match_both,1716,811,5,896,6,diverged_present
Bacillus rugosus,Bacillus,no_match_both,1710,811,6,1391,6,diverged_present
Bacillus sonorensis,Bacillus,no_match_both,1713,811,7,896,5,diverged_present
Bacillus swezeyi,Bacillus,no_match_both,1710,811,6,896,5,diverged_present
Bacillus toyonensis,Bacillus,no_match_rev,1713,811,4,896,5,diverged_present
Bacillus nakamurai,Bacillus,no_match_both,1710,811,7,896,5,diverged_present
Bacillus mojavensis,Bacillus,no_match_both,1710,811,5,1064,6,diverged_present
Peribacillus frigoritolerans,Peribacillus,no_match_both,1710,808,5,893,5,diverged_present
Peribacillus loiseleuriae,Peribacillus,no_match_fwd,1713,811,6,896,4,diverged_present
Niallia nealsonii,Niallia,no_match_both,1716,811,7,63,7,diverged_present
Oceanobacillus aidingensis,Oceanobacillus,no_match_both,1710,969,7,893,5,diverged_present
Oceanobacillus arenosus,Oceanobacillus,no_match_fwd,1713,811,7,896,4,diverged_present
Alkalihalobacterium elongatum,Alkalihalobacterium,no_match_both,1716,811,5,1090,6,diverged_present
Oceanobacillus piezotolerans,Oceanobacillus,no_match_both,1713,811,7,896,5,diverged_present
Effusibacillus consociatus,Effusibacillus,no_match_both,2058,1039,7,1241,5,genuinely_absent
Clostridium hydrogenum,Clostridium,no_match_both,1719,817,5,907,7,diverged_present
Limosilactobacillus rudii,Limosilactobacillus,no_match_rev,1722,817,2,902,6,diverged_present
Roseburia intestinalis,Roseburia,no_match_both,228,6,10,57,10,fragment_site_unreachable
Staphylococcus massiliensis,Staphylococcus,no_match_both,1716,814,8,899,5,diverged_present
