species,header,phylum,coverage_frac,extracted_length,status
Methylocystis echinoides,Methylocystis echinoides|WP_464593654.1|NZ_AP038937.1,Proteobacteria,0.226,314,excluded_gap_coverage
Halomonas tibetensis,Halomonas tibetensis|WP_379756960.1|NZ_JBHRSQ010000009.1,Proteobacteria,0.073,102,excluded_gap_coverage
Oceanobacillus halophilus,Oceanobacillus halophilus|WP_121204354.1|NZ_RBZP01000007.1,Firmicutes,0.134,186,excluded_gap_coverage
Neobacillus cucumis,Neobacillus cucumis|WP_498972786.1|NZ_CP126111.1,Firmicutes,0.233,323,excluded_gap_coverage
Neobacillus niacini,Neobacillus niacini|WP_335413999.1|NZ_JBALOO010000036.1,Firmicutes,0.134,186,excluded_gap_coverage
Parapedobacter soli,Parapedobacter soli|WP_262247939.1|NZ_JAMXAY010000022.1,Bacteroidota,0.102,141,excluded_gap_coverage
Bacillus rhizoplanae,Bacillus rhizoplanae|WP_429720760.1|NZ_JBCMJV010000029.1,Firmicutes,0.133,184,excluded_gap_coverage
Oligella ureolytica,Oligella ureolytica|CAM5203982.1|CAXHVF020000105.1,Proteobacteria,0.226,314,excluded_gap_coverage
Bacillus subtilis,Bacillus subtilis|YFS53619.1|CP170582.1,Firmicutes,0.285,396,excluded_gap_coverage
Neobacillus bataviensis,Neobacillus bataviensis|WP_098527700.1|NZ_CM160068.1,Firmicutes,0.233,323,excluded_gap_coverage
Schinkia azotoformans,Schinkia azotoformans|WP_233276046.1|NZ_JARSLZ010000047.1,Firmicutes,0.116,161,excluded_gap_coverage
Priestia megaterium,Priestia megaterium|WP_282274362.1|NZ_JASBCR010000035.1,Firmicutes,0.153,213,excluded_gap_coverage
Pseudomonas saudimassiliensis,Pseudomonas saudimassiliensis|WP_044498740.1|NZ_LK391969.1,Proteobacteria,0.226,314,excluded_gap_coverage
Castellaniella ginsengisoli,Castellaniella ginsengisoli|WP_454478693.1|NZ_JBSKIQ010000005.1,Proteobacteria,0.224,311,excluded_gap_coverage
Bacillus timonensis,Bacillus timonensis|WP_136379057.1|NZ_SLUB01000010.1,Firmicutes,0.231,320,excluded_gap_coverage
Neobacillus drentensis,Neobacillus drentensis|WP_098260239.1|NZ_JBALMY010000025.1,Firmicutes,0.233,323,excluded_gap_coverage
Halomonas cerina,Halomonas cerina|WP_246389866.1|NZ_JACHXP010000006.1,Proteobacteria,0.226,314,excluded_gap_coverage
Paenibacillus piscarius,Paenibacillus piscarius|WP_338019688.1|NZ_JAIEUI010000005.1,Firmicutes,0.145,201,excluded_gap_coverage
Priestia aryabhattai,Priestia aryabhattai|WP_049165828.1|NZ_JARMUF010000009.1,Firmicutes,0.153,213,excluded_gap_coverage
Paenibacillus camelliae,Paenibacillus camelliae|WP_251669992.1|NZ_JAMBNY010000013.1,Firmicutes,0.182,253,excluded_gap_coverage
Denitrificimonas caeni,Denitrificimonas caeni|WP_205341862.1|NZ_CAJHOA010000004.1,Proteobacteria,0.152,211,excluded_gap_coverage
Mesobacillus maritimus,Mesobacillus maritimus|WP_404328150.1|NZ_CP085225.1,Firmicutes,0.149,207,excluded_gap_coverage
Bacillus mesophilum,Bacillus mesophilum|WP_151574022.1|NZ_WBOT01000003.1,Firmicutes,0.151,210,excluded_gap_coverage
Neobacillus novalis,Neobacillus novalis|WP_283935878.1|NZ_CP126114.1,Firmicutes,0.233,323,excluded_gap_coverage
Bordetella petrii,Bordetella petrii|WP_289785534.1|NZ_JAUDJE010000007.1,Proteobacteria,0.123,171,excluded_gap_coverage
Bacillus cereus,Bacillus cereus|WP_016103484.1|NZ_JAEHBL010000031.1,Firmicutes,0.132,183,excluded_gap_coverage
Bacillus marasmi,Bacillus marasmi|WP_147535088.1|NZ_LR656175.1,Firmicutes,0.158,219,excluded_gap_coverage
Bacillus aquiflavi,Bacillus aquiflavi|WP_163241204.1|NZ_JAAIWN010000010.1,Firmicutes,0.14,195,excluded_gap_coverage
Peribacillus huizhouensis,Peribacillus huizhouensis|WP_182502371.1|NZ_JACJHX010000004.1,Firmicutes,0.138,192,excluded_gap_coverage
Virgibacillus byunsanensis,Virgibacillus byunsanensis|WP_390364640.1|NZ_JBHTKJ010000073.1,Firmicutes,0.228,317,excluded_gap_coverage
Bacillus dakarensis,Bacillus dakarensis|WP_077215136.1|NZ_LT707409.1,Firmicutes,0.231,320,excluded_gap_coverage
Bacillus benzoevorans,Bacillus benzoevorans|WP_246439699.1|NZ_JACHGK010000020.1,Firmicutes,0.133,184,excluded_gap_coverage
Neobacillus vireti,Neobacillus vireti|WP_024027076.1|NZ_LDNB01000007.1,Firmicutes,0.132,183,excluded_gap_coverage
Neobacillus soli,Neobacillus soli|YFW85444.1|CP176001.1,Firmicutes,0.132,183,excluded_gap_coverage
Neobacillus ginsengisoli,Neobacillus ginsengisoli|WP_307411574.1|NZ_JAUSTW010000007.1,Firmicutes,0.233,323,excluded_gap_coverage
Virgibacillus dakarensis,Virgibacillus dakarensis|WP_088052254.1|NZ_LT732554.1,Firmicutes,0.228,317,excluded_gap_coverage
Bacillus atrophaeus,Bacillus atrophaeus|XEN84294.1|CP166870.1,Firmicutes,0.285,396,excluded_gap_coverage
Neobacillus pocheonensis,Neobacillus pocheonensis|WP_430137918.1|NZ_JBCNAD010000033.1,Firmicutes,0.233,323,excluded_gap_coverage
Paenibacillus rigui,Paenibacillus rigui|WP_094018141.1|NZ_NMQW01000052.1,Firmicutes,0.16,222,excluded_gap_coverage
Peribacillus simplex,Peribacillus simplex|WP_430180699.1|NZ_JBCNGS010000206.1,Firmicutes,0.162,225,excluded_gap_coverage
Rummeliibacillus pycnus,Rummeliibacillus pycnus|WP_397540154.1|NZ_CP132291.1,Firmicutes,0.149,207,excluded_gap_coverage
Bacillus amyloliquefaciens,Bacillus amyloliquefaciens|XWY25974.1|CP181169.1,Firmicutes,0.285,396,excluded_gap_coverage
Halomonas endophytica,Halomonas endophytica|WP_240609925.1|NZ_PNRF01000027.1,Proteobacteria,0.226,314,excluded_gap_coverage
Desulforamulus ruminis,Desulforamulus ruminis|WP_273484371.1|NZ_CAMJVD010000022.1,Firmicutes,0.147,204,excluded_gap_coverage
Bacillus licheniformis,Bacillus licheniformis|CAI8847427.1|CATKPH010000011.1,Firmicutes,0.05,70,excluded_gap_coverage
Cytobacillus gottheilii,Cytobacillus gottheilii|WP_214476144.1|NZ_CP071709.1,Firmicutes,0.147,204,excluded_gap_coverage
Thiopseudomonas denitrificans,Thiopseudomonas denitrificans|WP_101497809.1|NZ_CP051436.1,Proteobacteria,0.152,211,excluded_gap_coverage
Bacillus halotolerans,Bacillus halotolerans|XON11426.1|CP176792.1,Firmicutes,0.285,396,excluded_gap_coverage
Neobacillus paridis,Neobacillus paridis|WP_202656042.1|NZ_CP133263.1,Firmicutes,0.132,183,excluded_gap_coverage
Lentibacillus cibarius,Lentibacillus cibarius|WP_138601991.1|NZ_VCIA01000001.1,Firmicutes,0.228,317,excluded_gap_coverage
Turicibacter sanguinis,Turicibacter sanguinis|CUM80396.1|CYXW01000003.1,Firmicutes,0.16,222,excluded_gap_coverage
Afipia carboxidovorans,Afipia carboxidovorans|WP_338634167.1|NZ_AP029055.1,Proteobacteria,0.226,314,excluded_gap_coverage
Microvirga massiliensis,Microvirga massiliensis|WP_046868521.1|NZ_CABMGP010000017.1,Proteobacteria,0.226,314,excluded_gap_coverage
Paracoccus haematequi,Paracoccus haematequi|WP_126154381.1|NZ_UZWE01000029.1,Proteobacteria,0.163,226,excluded_gap_coverage
Paenibacillus guangzhouensis,Paenibacillus guangzhouensis|WP_152392689.1|NZ_CP045293.1,Firmicutes,0.147,204,excluded_gap_coverage
Staphylococcus haemolyticus,Staphylococcus haemolyticus|QBN20807.1|MG983073.1,Firmicutes,0.192,267,excluded_gap_coverage
Vulgatibacter incomptus,Vulgatibacter incomptus|AKU91838.1|CP012332.1,Proteobacteria,0.132,183,excluded_gap_coverage
Paenibacillus terrigena,Paenibacillus terrigena|WP_497080361.1|NZ_CM185041.1,Firmicutes,0.138,192,excluded_gap_coverage
Rhodohalobacter barkolensis,Rhodohalobacter barkolensis|WP_276307529.1|NZ_PISP01000006.1,Balneolaeota,0.143,198,excluded_gap_coverage
Castellaniella defragrans,Castellaniella defragrans|WP_465057784.1|NZ_CDYKSZ010000006.1,Proteobacteria,0.122,169,excluded_gap_coverage
Castellaniella hirudinis,Castellaniella hirudinis|WP_414244197.1|NZ_JBLGTV010000001.1,Proteobacteria,0.224,311,excluded_gap_coverage
Hanamia caeni,Hanamia caeni|WP_199727545.1|NZ_RJJR01000012.1,Bacteroidota,0.108,150,excluded_gap_coverage
Turicimonas muris,Turicimonas muris|WP_302945537.1|NZ_CAUEYL010000037.1,Proteobacteria,0.121,168,excluded_gap_coverage
Paenibacillus contaminans,Paenibacillus contaminans|WP_113028966.1|NZ_QMFB01000001.1,Firmicutes,0.145,201,excluded_gap_coverage
Paenibacillus daejeonensis,Paenibacillus daejeonensis|WP_020619788.1|NZ_KB899670.1,Firmicutes,0.349,484,excluded_gap_coverage
Janibacter melonis,Janibacter melonis|QBI90149.1|MG948604.1,Actinobacteria,0.192,267,excluded_gap_coverage
Pseudothauera nasutitermitis,Pseudothauera nasutitermitis|WP_136346546.1|NZ_SSOC01000001.1,Proteobacteria,0.115,159,excluded_gap_coverage
Alcaligenes aquatilis,Alcaligenes aquatilis|WP_460196586.1|NZ_JBTVPX010000003.1,Proteobacteria,0.226,314,excluded_gap_coverage
Halomonas azerbaijanica,Halomonas azerbaijanica|TFH87647.1|SBLD01000003.1,Proteobacteria,0.226,314,excluded_gap_coverage
Halomonas campisalis,Halomonas campisalis|WP_238975877.1|NZ_JABFUC010000002.1,Proteobacteria,0.226,314,excluded_gap_coverage
Anaeromyxobacter dehalogenans,Anaeromyxobacter dehalogenans|WP_012631875.1|NC_011891.1,Proteobacteria,0.105,146,excluded_gap_coverage
Halopseudomonas formosensis,Halopseudomonas formosensis|WP_090539161.1|NZ_FOYD01000006.1,Proteobacteria,0.096,133,excluded_gap_coverage
Halomonas kenyensis,Halomonas kenyensis|WP_181516931.1|NZ_JABFUB010000004.1,Proteobacteria,0.134,186,excluded_gap_coverage
Halomonas lactosivorans,Halomonas lactosivorans|WP_111414465.1|NZ_QHGY01000006.1,Proteobacteria,0.095,132,excluded_gap_coverage
Halomonas lysinitropha,Halomonas lysinitropha|CAM3481753.1|CBCSAG010000007.1,Proteobacteria,0.226,314,excluded_gap_coverage
Halomonas organivorans,Halomonas organivorans|XKE45391.1|CP085248.1,Proteobacteria,0.091,127,excluded_gap_coverage
Paracandidimonas soli,Paracandidimonas soli|WP_132477207.1|NZ_JBHRVM010000001.1,Proteobacteria,0.194,269,excluded_gap_coverage
Labilithrix luteola,Labilithrix luteola|WP_146648058.1|NZ_CP012333.1,Proteobacteria,0.045,63,excluded_gap_coverage
Rhodoplanes elegans,Rhodoplanes elegans|WP_420826075.1|NZ_NHSK01000102.1,Proteobacteria,0.226,314,excluded_gap_coverage
Microvirga vignae,Microvirga vignae|WP_047189241.1|NZ_LCYG01000028.1,Proteobacteria,0.226,314,excluded_gap_coverage
Bradyrhizobium centrosematis,Bradyrhizobium centrosematis|WP_211417063.1|NZ_CP200312.1,Proteobacteria,0.158,219,excluded_gap_coverage
Bradyrhizobium icense,Bradyrhizobium icense|WP_065727524.1|NZ_CP016428.1,Proteobacteria,0.153,213,excluded_gap_coverage
Hyphomicrobium denitrificans,Hyphomicrobium denitrificans|WP_497860289.1|NZ_AP031384.1,Proteobacteria,0.226,314,excluded_gap_coverage
Bradyrhizobium liaoningense,Bradyrhizobium liaoningense|WP_448046309.1|NZ_OZ345839.1,Proteobacteria,0.226,314,excluded_gap_coverage
Brucella pseudogrignonensis,Brucella pseudogrignonensis|WP_433850599.1|NZ_CP158843.1,Proteobacteria,0.147,204,excluded_gap_coverage
Pseudochrobactrum asaccharolyticum,Pseudochrobactrum asaccharolyticum|WP_445379418.1|NZ_CM127336.1,Proteobacteria,0.226,314,excluded_gap_coverage
Pseudochrobactrum saccharolyticum,Pseudochrobactrum saccharolyticum|WP_151160199.1|NZ_JACHIL010000005.1,Proteobacteria,0.226,314,excluded_gap_coverage
Pseudaminobacter soli,Pseudaminobacter soli|WP_188257157.1|NZ_JABVCF010000014.1,Proteobacteria,0.226,314,excluded_gap_coverage
Paracoccus acridae,Paracoccus acridae|WP_188715591.1|NZ_BMIV01000009.1,Proteobacteria,0.226,314,excluded_gap_coverage
Brucella intermedia,Brucella intermedia|WP_151663554.1|NZ_JABXOG010000008.1,Proteobacteria,0.149,207,excluded_gap_coverage
Paracoccus pantotrophus,Paracoccus pantotrophus|WP_374327230.1|NZ_JAYRDN010000024.1,Proteobacteria,0.226,314,excluded_gap_coverage
Paracoccus solventivorans,Paracoccus solventivorans|WP_073067326.1|NZ_DAOKYZ010000003.1,Proteobacteria,0.159,220,excluded_gap_coverage
Pelagivirga dicentrarchi,Pelagivirga dicentrarchi|WP_113912796.1|NZ_QNQP01000015.1,Proteobacteria,0.161,223,excluded_gap_coverage
Bradyrhizobium viridifuturi,Bradyrhizobium viridifuturi|WP_434841987.1|NZ_JBNPVD010000011.1,Proteobacteria,0.226,314,excluded_gap_coverage
Aquamicrobium ahrensii,Aquamicrobium ahrensii|WP_354152317.1|NZ_JBHRZP010000018.1,Proteobacteria,0.226,314,excluded_gap_coverage
Mesorhizobium comanense,Mesorhizobium comanense|WP_171026539.1|NZ_SCNN01000042.1,Proteobacteria,0.226,314,excluded_gap_coverage
Bacillus paralicheniformis,Bacillus paralicheniformis|XNY22693.1|CP178914.1,Firmicutes,0.285,396,excluded_gap_coverage
Paenibacillus illinoisensis,Paenibacillus illinoisensis|WP_110757812.1|NZ_PRLG01000015.1,Firmicutes,0.176,244,excluded_gap_coverage
Paenibacillus lautus,Paenibacillus lautus|WP_430167351.1|NZ_JBCNHU010000015.1,Firmicutes,0.157,218,excluded_gap_coverage
Paenibacillus odorifer,Paenibacillus odorifer|WP_076286794.1|NZ_MPTD01000011.1,Firmicutes,0.143,198,excluded_gap_coverage
Paenibacillus polymyxa,Paenibacillus polymyxa|WP_215074962.1|NZ_JAGGNR010000008.1,Firmicutes,0.149,207,excluded_gap_coverage
Paenibacillus senegalensis,Paenibacillus senegalensis|WP_010272427.1|NZ_HE610958.1,Firmicutes,0.18,250,excluded_gap_coverage
Paenibacillus silvae,Paenibacillus silvae|WP_229729759.1|NZ_BMFU01000002.1,Firmicutes,0.16,222,excluded_gap_coverage
Paenibacillus tyrfis,Paenibacillus tyrfis|WP_253409892.1|NZ_JAMZAW010000005.1,Firmicutes,0.149,207,excluded_gap_coverage
Paenibacillus vini,Paenibacillus vini|WP_213655240.1|NZ_BOSL01000008.1,Firmicutes,0.156,216,excluded_gap_coverage
Brevibacillus fluminis,Brevibacillus fluminis|WP_441067612.1|NZ_CM125436.1,Firmicutes,0.139,193,excluded_gap_coverage
Brevibacillus invocatus,Brevibacillus invocatus|WP_122910816.1|NZ_CBCSBE010000014.1,Firmicutes,0.153,213,excluded_gap_coverage
Brevibacillus reuszeri,Brevibacillus reuszeri|WP_103106830.1|NZ_BEXF01000008.1,Firmicutes,0.166,230,excluded_gap_coverage
Paenibacillus barcinonensis,Paenibacillus barcinonensis|WP_110899700.1|NZ_CP054614.1,Firmicutes,0.163,226,excluded_gap_coverage
Paenibacillus bouchesdurhonensis,Paenibacillus bouchesdurhonensis|WP_110933512.1|NZ_LT732548.1,Firmicutes,0.167,232,excluded_gap_coverage
Kurthia gibsonii,Kurthia gibsonii|YFH75974.1|CP185371.1,Firmicutes,0.108,150,excluded_gap_coverage
Macrococcus goetzii,Macrococcus goetzii|WP_099577193.1|NZ_MJBI02000011.1,Firmicutes,0.226,314,excluded_gap_coverage
Macrococcus canis,Macrococcus canis|WP_133453671.1|NZ_SDGP01000001.1,Firmicutes,0.128,177,excluded_gap_coverage
Kurthia huakuii,Kurthia huakuii|WP_235073469.1|NZ_JAFBFB010000022.1,Firmicutes,0.119,165,excluded_gap_coverage
Kurthia zopfii,Kurthia zopfii|CAQ9103019.1|CEVUMC010000091.1,Firmicutes,0.215,299,excluded_gap_coverage
Savagea faecisuis,Savagea faecisuis|WP_381013382.1|NZ_JBHTJF010000035.1,Firmicutes,0.12,166,excluded_gap_coverage
Sporosarcina globispora,Sporosarcina globispora|WP_053435738.1|NZ_LGUF01000007.1,Firmicutes,0.134,186,excluded_gap_coverage
Cytobacillus solani,Cytobacillus solani|WP_056684973.1|NZ_LJIX01000006.1,Firmicutes,0.134,186,excluded_gap_coverage
Geobacillus kaustophilus,Geobacillus kaustophilus|WP_033010817.1|NZ_CP038860.1,Firmicutes,0.231,320,excluded_gap_coverage
Bacillus cihuensis,Bacillus cihuensis|WP_028389872.1|NZ_AYSD01000010.1,Firmicutes,0.138,192,excluded_gap_coverage
Lysinibacillus pakistanensis,Lysinibacillus pakistanensis|WP_429983149.1|NZ_JBDLZP010000007.1,Firmicutes,0.111,154,excluded_gap_coverage
Lysinibacillus xylanilyticus,Lysinibacillus xylanilyticus|WP_337988644.1|NZ_CM184208.1,Firmicutes,0.111,154,excluded_gap_coverage
Cytobacillus oceanisediminis,Cytobacillus oceanisediminis|WP_192908638.1|NZ_CP062790.1,Firmicutes,0.134,186,excluded_gap_coverage
Bacillus thuringiensis,Bacillus thuringiensis|WP_000865665.1|NZ_CEHVNK010000001.1,Firmicutes,0.132,183,excluded_gap_coverage
Bacillus pseudomycoides,Bacillus pseudomycoides|WP_426980460.1|NZ_CP189809.1,Firmicutes,0.133,184,excluded_gap_coverage
Bacillus sanguinis,Bacillus sanguinis|WP_212956317.1|NZ_JBYCGT010000038.1,Firmicutes,0.132,183,excluded_gap_coverage
Bacillus toyonensis,Bacillus toyonensis|WP_262715029.1|NZ_JAOPRA010000028.1,Firmicutes,0.132,183,excluded_gap_coverage
Cytobacillus firmus,Cytobacillus firmus|WP_258760195.1|NZ_JANTPK010000012.1,Firmicutes,0.134,186,excluded_gap_coverage
Bacillus wiedmannii,Bacillus wiedmannii|WP_327987057.1|NZ_JARMGN010000031.1,Firmicutes,0.132,183,excluded_gap_coverage
Bacillus massilionigeriensis,Bacillus massilionigeriensis|WP_075980315.1|NZ_LT630337.1,Firmicutes,0.128,178,excluded_gap_coverage
Compostibacillus humi,Compostibacillus humi|WP_188393107.1|NZ_BMEV01000071.1,Firmicutes,0.134,186,excluded_gap_coverage
Mesobacillus jeotgali,Mesobacillus jeotgali|WP_226677902.1|NZ_JAIWKA010000005.1,Firmicutes,0.119,165,excluded_gap_coverage
Mesobacillus thioparans,Mesobacillus thioparans|WP_415814276.1|NZ_CBCSFH010000005.1,Firmicutes,0.16,222,excluded_gap_coverage
Sphaerobacter thermophilus,Sphaerobacter thermophilus|WP_012871223.1|NZ_QGVB02000051.1,Chloroflexi,0.102,141,excluded_gap_coverage
Kaistella treverensis,Kaistella treverensis|WP_089820111.1|NZ_FORQ01000003.1,Bacteroidota,0.091,126,excluded_gap_coverage
Gelidibacter pelagius,Gelidibacter pelagius|WP_208233940.1|NZ_JAGEVG010000012.1,Bacteroidota,0.115,159,excluded_gap_coverage
Pontibacter virosus,Pontibacter virosus|WP_116544346.1|NZ_QEKI01000011.1,Bacteroidota,0.121,168,excluded_gap_coverage
Pontibacter flavimaris,Pontibacter flavimaris|WP_073850478.1|NZ_LVWA01000002.1,Bacteroidota,0.121,168,excluded_gap_coverage
Peribacillus loiseleuriae,Peribacillus loiseleuriae|WP_049681309.1|NZ_LFZW01000001.1,Firmicutes,0.135,187,excluded_gap_coverage
Bacillus badius,Bacillus badius|WP_285614888.1|NZ_BSSZ01000004.1,Firmicutes,0.119,165,excluded_gap_coverage
Alkalihalobacterium elongatum,Alkalihalobacterium elongatum|WP_268884646.1|NZ_WMKZ01000001.1,Firmicutes,0.13,181,excluded_gap_coverage
Bacillus proteolyticus,Bacillus proteolyticus|WP_427368186.1|NZ_JBNNHJ010000012.1,Firmicutes,0.132,183,excluded_gap_coverage
